model,cv_mean,cv_std,range_mean,range_std,consistency_mean,consistency_std,runs
openai/gpt-3.5-turbo,0.06474340977580138,0.012837450263998074,0.12948681955160277,0.025674900527996147,0.8654950119214675,0.02425947837701408,4
openai/gpt-4o-mini,0.05018395240507588,0.007963667817810698,0.10036790481015176,0.015927335635621397,0.8966019003563871,0.01719329596153898,4
openai/gpt-4.1-nano,0.06657078214372544,0.024636095011333747,0.1331415642874509,0.04927219002266749,0.8813371410711885,0.03911987065869964,4
openai/gpt-4.1-mini,0.07224637768979077,0.024935534179083167,0.14449275537958153,0.049871068358166334,0.8509936292008837,0.04837987306115775,4
openai/gpt-4.1,0.05609555888216655,0.016166185778839853,0.1121911177643331,0.03233237155767971,0.8785268102801873,0.034229175791095516,4
